,sid,freq,roi,aec
0,genz132_9a,DC,bankssts_1-lh,0.028004049562033985
1,genz132_9a,DC,bankssts_1-rh,0.2997993505071398
2,genz132_9a,DC,bankssts_2-lh,0.21584729631313432
3,genz132_9a,DC,bankssts_2-rh,0.28757561596541265
4,genz132_9a,DC,bankssts_3-lh,0.2847563037173079
5,genz132_9a,DC,bankssts_3-rh,0.3107878551300406
6,genz132_9a,DC,caudalanteriorcingulate_1-lh,0.2768434701965643
7,genz132_9a,DC,caudalanteriorcingulate_1-rh,0.30444505550431644
8,genz132_9a,DC,caudalanteriorcingulate_2-lh,0.25027698721346475
9,genz132_9a,DC,caudalanteriorcingulate_2-rh,0.2899161349029674
10,genz132_9a,DC,caudalanteriorcingulate_3-rh,0.27515831463264495
11,genz132_9a,DC,caudalmiddlefrontal_1-lh,0.2943028793940731
12,genz132_9a,DC,caudalmiddlefrontal_1-rh,0.30606355504829075
13,genz132_9a,DC,caudalmiddlefrontal_2-lh,0.29631522134640315
14,genz132_9a,DC,caudalmiddlefrontal_2-rh,0.32675702627914976
15,genz132_9a,DC,caudalmiddlefrontal_3-lh,0.2920989471770687
16,genz132_9a,DC,caudalmiddlefrontal_3-rh,0.30085839436911777
17,genz132_9a,DC,caudalmiddlefrontal_4-lh,0.2788324497396399
18,genz132_9a,DC,caudalmiddlefrontal_4-rh,0.3094997168425567
19,genz132_9a,DC,caudalmiddlefrontal_5-lh,0.26254585643377015
20,genz132_9a,DC,caudalmiddlefrontal_5-rh,0.2712713114838959
21,genz132_9a,DC,caudalmiddlefrontal_6-lh,0.2631212361160064
22,genz132_9a,DC,cuneus_1-lh,0.2524085120302775
23,genz132_9a,DC,cuneus_1-rh,0.2613035809709541
24,genz132_9a,DC,cuneus_2-lh,0.261754794403942
25,genz132_9a,DC,cuneus_2-rh,0.24767638247729307
26,genz132_9a,DC,cuneus_3-lh,0.2666372170573756
27,genz132_9a,DC,cuneus_3-rh,0.24279242951932853
28,genz132_9a,DC,cuneus_4-rh,0.2505199717519233
29,genz132_9a,DC,entorhinal_1-lh,0.2883089232829929
30,genz132_9a,DC,entorhinal_1-rh,0.2557144854972707
31,genz132_9a,DC,frontalpole_1-lh,0.2960159945447443
32,genz132_9a,DC,frontalpole_1-rh,0.28465455162668374
33,genz132_9a,DC,fusiform_1-lh,0.26974907022409206
34,genz132_9a,DC,fusiform_1-rh,0.27427449908134544
35,genz132_9a,DC,fusiform_2-lh,0.2463575332992544
36,genz132_9a,DC,fusiform_2-rh,0.28485412084600825
37,genz132_9a,DC,fusiform_3-lh,0.2546628156337236
38,genz132_9a,DC,fusiform_3-rh,0.2735653299773524
39,genz132_9a,DC,fusiform_4-lh,0.2512576255504519
40,genz132_9a,DC,fusiform_4-rh,0.26322228597531516
41,genz132_9a,DC,fusiform_5-lh,0.23271306016606666
42,genz132_9a,DC,fusiform_5-rh,0.263506812052646
