,id,freq,roi,deg
0,GenZ_102_9a,DC,0,0.0
1,GenZ_102_9a,DC,2,0.0
2,GenZ_102_9a,DC,3,0.0
3,GenZ_102_9a,DC,35,0.0
4,GenZ_102_9a,delta,0,0.0
5,GenZ_102_9a,delta,2,0.0
6,GenZ_102_9a,delta,3,0.0
7,GenZ_102_9a,delta,35,0.0
8,GenZ_102_9a,theta,0,0.0
9,GenZ_102_9a,theta,2,0.0
10,GenZ_102_9a,theta,3,0.0
11,GenZ_102_9a,theta,35,0.0
12,GenZ_102_9a,alpha,0,0.0
13,GenZ_102_9a,alpha,2,0.0
14,GenZ_102_9a,alpha,3,0.0
15,GenZ_102_9a,alpha,35,0.0
16,GenZ_102_9a,beta,0,0.0
17,GenZ_102_9a,beta,2,0.0
18,GenZ_102_9a,beta,3,0.0
19,GenZ_102_9a,beta,35,0.0
20,GenZ_102_9a,gamma,0,0.0
21,GenZ_102_9a,gamma,2,0.0
22,GenZ_102_9a,gamma,3,0.0
23,GenZ_102_9a,gamma,35,0.0
24,GenZ_102_9a,gamma2,0,0.0
25,GenZ_102_9a,gamma2,2,0.0
26,GenZ_102_9a,gamma2,3,0.0
27,GenZ_102_9a,gamma2,35,0.0
28,GenZ_106_9a,DC,0,0.0
29,GenZ_106_9a,DC,2,0.0
30,GenZ_106_9a,DC,3,0.0
31,GenZ_106_9a,DC,35,0.0
32,GenZ_106_9a,delta,0,0.0
33,GenZ_106_9a,delta,2,0.0
34,GenZ_106_9a,delta,3,0.0
35,GenZ_106_9a,delta,35,0.0
36,GenZ_106_9a,theta,0,0.0
37,GenZ_106_9a,theta,2,0.0
38,GenZ_106_9a,theta,3,0.0
39,GenZ_106_9a,theta,35,0.0
40,GenZ_106_9a,alpha,0,0.0
41,GenZ_106_9a,alpha,2,0.0
42,GenZ_106_9a,alpha,3,0.0
43,GenZ_106_9a,alpha,35,0.0
44,GenZ_106_9a,beta,0,0.0
45,GenZ_106_9a,beta,2,0.0
46,GenZ_106_9a,beta,3,0.0
47,GenZ_106_9a,beta,35,0.0
48,GenZ_106_9a,gamma,0,0.0
49,GenZ_106_9a,gamma,2,0.0
50,GenZ_106_9a,gamma,3,0.0
51,GenZ_106_9a,gamma,35,0.0
52,GenZ_106_9a,gamma2,0,0.0
53,GenZ_106_9a,gamma2,2,0.0
54,GenZ_106_9a,gamma2,3,0.0
55,GenZ_106_9a,gamma2,35,0.0
56,GenZ_107_9a,DC,0,0.0
57,GenZ_107_9a,DC,2,0.0
58,GenZ_107_9a,DC,3,0.0
59,GenZ_107_9a,DC,35,0.0
60,GenZ_107_9a,delta,0,0.0
61,GenZ_107_9a,delta,2,0.0
62,GenZ_107_9a,delta,3,0.0
63,GenZ_107_9a,delta,35,0.0
64,GenZ_107_9a,theta,0,0.0
65,GenZ_107_9a,theta,2,0.0
66,GenZ_107_9a,theta,3,0.0
67,GenZ_107_9a,theta,35,0.0
68,GenZ_107_9a,alpha,0,0.0
69,GenZ_107_9a,alpha,2,0.0
70,GenZ_107_9a,alpha,3,0.0
71,GenZ_107_9a,alpha,35,0.0
72,GenZ_107_9a,beta,0,0.0
73,GenZ_107_9a,beta,2,0.0
74,GenZ_107_9a,beta,3,0.0
75,GenZ_107_9a,beta,35,0.0
76,GenZ_107_9a,gamma,0,0.0
77,GenZ_107_9a,gamma,2,0.0
