	id	sex	yrs	lpa	rpa	badChs	ag
0	104_9a	female	9.07	-54.4	62.4	1743	9
1	105_9a	male	9.14	-60.6	61.9	1743	9
2	106_9a	female	9.1	-58.9	60.9	1743, 2542	9
3	108_9a	female	9.09	-58.2	63.7	1743, 2422	9
4	109_9a	male	9.08	-62.4	64.1	1743, 2542	9
5	110_9a	female	9.14	-64.7	67.1	1743, 1842	9
6	111_9a	male	9.14	-63.3	66.7	1743, 1842, 2431, 2432, 2433, 2641, 2642, 2643	9
7	112_9a	female	9.11	-56.4	61.3	1743, 1842	9
8	113_9a	male	9.13	-58.3	67.9	1743, 1842	9
9	114_9a	female	9.16	-66.4	65.5	1743, 1842	9
10	115_9a	male	9.13	-56.7	68.6	1743, 1842	9
11	116_9a	female	9.16	-66.7	62.4	1743, 1842	9
12	117_9a	male	9.12	-65.8	62.8	1743, 1842	9
13	118_9a	female	9.12	-60.9	59.2	1743, 1842	9
14	119_9a	male	9.16	-63.3	65.9	1743, 1842	9
15	120_9a	female	9.16	-58.9	57.6	1743, 1842	9
16	121_9a	male	9.14	-60.1	61.9	1743, 1842	9
17	122_9a	female	9.16	-64.9	69	1743, 1842	9
18	123_9a	male	9.13	-55.8	61.4	1743, 1842	9
19	124_9a	female	9.18	-60.2	61.1	1743, 1842	9
20	125_9a	male	9.15	-59.2	62.9	1743, 1542	9
21	126_9a	female	9.17	-58.9	56.7	1743, 1842	9
22	128_9a	female	9.14	-60.7	62.4	1743, 1842	9
23	129_9a	male	9.16	-61.7	56.8	1742, 1842	9
24	130_9a	female	9.14	-56.9	60.1	1743, 1842	9
25	131_9a	male	9.15	-60.6	64.4	1743, 1842	9
26	132_9a	female	9.07	-59.8	63.3	1743, 1842	9
27	133_9a	male	9.13	-62.7	63.4	1743, 1842	9
28	201_11a	male	11.05	-66.6	73.1	1743	11
29	202_11a	female	11.03	-63.3	64.5	1743	11
30	203_11a	male	11.04	-60.9	65.3	1743	11
31	205_11a	male	11.06	-67.8	65.7	1743, 2542	11
32	206_11a	female	11.14	-71	65.7	1743, 2542	11
33	207_11a	male	11.15	-62.4	67.8	1743, 2542	11
34	208_11a	female	11.1	-58.4	60.2	1743	11
35	209_11a	male	11.09	-58.4	68.5	1743	11
36	210_11a	female	11.13	-64.4	59.6	1743, 2542	11
37	211_11a	male	11.06	-69.2	68.4	1743	11
38	212_11a	female	11.01	-63.5	64.9	1743	11
39	213_11a	male	11.16	-69.1	66.2	1743, 2542	11
40	214_11a	female	11.16	-68.6	68.1	1743, 2542	11
41	216_11a	female	11.16	-60.8	62.8	1743, 2542	11
42	218_11a	female	11.16	-58.1	61.1	1743	11
43	219_11a	male		-60.6	65.5	1743, 1842	11
44	220_11a	female	11.16	-63	59.1	2542, 1743, 2422	11
45	221_11a	male	11.17	-63.6	68.6	1743, 1842	11
46	222_11a	female	11.16	-68.5	70	1743, 2542, 1842	11
47	223_11a	male	11.16	-60	60.1	1743, 1842	11
48	224_11a	female		-58.6	59.7	1743, 1842	11
49	225_11a	male	11.11	-60.3	64.9	1743, 1842	11
50	226_11a	female	11.15	-61.5	62.2	1743, 1842	11
51	227_11a	male	11.13	-62.9	63.1	1743, 1842	11
52	228_11a	female	11.15	-61.5	65.3	1743, 1842	11
53	229_11a	male	11.01	-58.4	67.1	1842, 1743, 2411	11
54	230_11a	female	11.1	-58.4	61	1743, 1842	11
55	231_11a	male	11.1	-61	66.6	1743, 1842	11
56	232_11a	female	11.16	-62	67.9	1743, 1842	11
57	233_11a	male	11.1	-62.3	63	1743, 1842	11
58	235_11a	male	11.13	-70.9	66	1743, 1842	11
59	302_13a	female	13.16	-65.7	67	1743	13
60	305_13a	male	13.03	-70	66.7	1743	13
61	307_13a	male	13.11	-59.4	62.9	1743	13
62	308_13a	female	13.03	-67.6	65.8	1743	13
63	309_13a	male	13.13	-67.7	65.3	1743, 2542	13
64	310_13a	female	13.11	-62.7	62.2	1743	13
